stdntid,grade,outcome,issmall,yearsstar,yearssmall,iswhite,isfreelunch,isfemale,f
10000,3,-.78950393,0,3,0,1,1,0,1
10000,3,12,0,3,0,1,1,0,6
10000,3,-1.224223,0,3,0,1,1,0,3
10000,3,80,0,3,0,1,1,0,8
10000,3,8,0,3,0,1,1,0,5
10000,3,-.52981639,0,3,0,1,1,0,4
10000,3,46,0,3,0,1,1,0,10
10000,3,80,0,3,0,1,1,0,7
10000,3,-.75605142,0,3,0,1,1,0,2
10002,3,-.59734613,0,1,0,0,0,1,4
10002,3,73,0,1,0,0,0,1,8
10002,3,3,0,1,0,0,0,1,5
10002,3,11,0,1,0,0,0,1,6
10002,3,30,0,1,0,0,0,1,7
10002,3,-.6312348800000001,0,1,0,0,0,1,3
10002,3,-.94643795,0,1,0,0,0,1,1
10002,3,45,0,1,0,0,0,1,10
10002,3,-1.1584115,0,1,0,0,0,1,2
10003,3,80,0,3,0,1,0,0,7
10003,3,.021321654,0,3,0,1,0,0,1
10003,3,41,0,3,0,1,0,0,10
10003,3,8,0,3,0,1,0,0,5
10003,3,93,0,3,0,1,0,0,8
10003,3,14,0,3,0,1,0,0,6
10003,3,-.37224683,0,3,0,1,0,0,4
10003,3,-.051921401,0,3,0,1,0,0,2
10003,3,.89805037,0,3,0,1,0,0,3
10004,3,10,0,2,0,0,1,1,5
10004,3,.073632985,0,2,0,0,1,1,1
10004,3,.19955361,0,2,0,0,1,1,2
10004,3,51,0,2,0,0,1,1,10
10004,3,-.81849432,0,2,0,0,1,1,3
10004,3,100,0,2,0,0,1,1,8
10004,3,-.52981639,0,2,0,0,1,1,4
10004,3,15,0,2,0,0,1,1,6
10004,3,100,0,2,0,0,1,1,7
10005,3,-1.0700547,0,2,0,0,1,0,4
10005,3,-.32854393,0,2,0,0,1,0,2
10005,3,-.68488127,0,2,0,0,1,0,1
10005,3,7,0,2,0,0,1,0,5
10005,3,70,0,2,0,0,1,0,7
10005,3,15,0,2,0,0,1,0,6
10005,3,-.75607455,0,2,0,0,1,0,3
10005,3,100,0,2,0,0,1,0,8
10007,3,100,0,1,0,0,0,0,7
10007,3,10,0,1,0,0,0,0,5
10007,3,49,0,1,0,0,0,0,10
10007,3,14,0,1,0,0,0,0,6
10007,3,93,0,1,0,0,0,0,8
10007,3,.48313054,0,1,0,0,0,0,4
10007,3,.80599159,0,1,0,0,0,0,1
10007,3,.33627209,0,1,0,0,0,0,3
10007,3,.87853616,0,1,0,0,0,0,2
10009,3,-.73719263,0,1,0,0,1,1,1
10009,3,-.68060893,0,1,0,0,1,1,2
10009,3,50,0,1,0,0,1,1,7
10009,3,8,0,1,0,0,1,1,6
10009,3,.89805037,0,1,0,0,1,1,3
10009,3,5,0,1,0,0,1,1,5
10009,3,53,0,1,0,0,1,1,8
10009,3,-.84495538,0,1,0,0,1,1,4
10010,3,-.37883893,0,3,0,0,1,0,2
10010,3,-.59734613,0,3,0,0,1,0,4
10010,3,-.37101331,0,3,0,0,1,0,1
10010,3,90,0,3,0,0,1,0,7
10010,3,9,0,3,0,0,1,0,6
10010,3,60,0,3,0,0,1,0,8
10010,3,9,0,3,0,0,1,0,5
10010,3,-.6312348800000001,0,3,0,0,1,0,3
10013,3,93,0,2,0,0,1,0,8
10013,3,-.68738586,0,2,0,0,1,0,4
10013,3,-.60641432,0,2,0,0,1,0,1
10013,3,100,0,2,0,0,1,0,7
10013,3,10,0,2,0,0,1,0,5
10013,3,14,0,2,0,0,1,0,6
10013,3,.45102862,0,2,0,0,1,0,2
10013,3,-.75607455,0,2,0,0,1,0,3
10014,3,-1.2841489,0,2,0,0,1,1,2
10014,3,-1.0772163,0,2,0,0,1,1,1
10014,3,80,0,2,0,0,1,1,8
10014,3,-1.4426924,0,2,0,0,1,1,3
10014,3,-.91248518,0,2,0,0,1,1,4
10014,3,7,0,2,0,0,1,1,5
10014,3,70,0,2,0,0,1,1,7
10014,3,49,0,2,0,0,1,1,10
10014,3,12,0,2,0,0,1,1,6
10016,3,9,1,1,1,1,0,1,5
10016,3,44,1,1,1,1,0,1,10
10016,3,.37058088,1,1,1,1,0,1,4
10016,3,14,1,1,1,1,0,1,6
10018,3,-.78950393,1,1,1,1,1,0,1
10018,3,90,1,1,1,1,1,0,7
10018,3,-1.837394,1,1,1,1,1,0,2
10018,3,.48313054,1,1,1,1,1,0,4
10018,3,33,1,1,1,1,1,0,8
10018,3,46,1,1,1,1,1,0,10
10018,3,-1.1618032,1,1,1,1,1,0,3
10018,3,5,1,1,1,1,1,0,6
10018,3,9,1,1,1,1,1,0,5
10019,3,-1.686509,0,1,0,0,1,1,2
10019,3,47,0,1,0,0,1,1,8
10019,3,20,0,1,0,0,1,1,7
10019,3,2,0,1,0,0,1,1,5
10019,3,-1.9141976,0,1,0,0,1,1,1
10019,3,7,0,1,0,0,1,1,6
10019,3,-1.1375844,0,1,0,0,1,1,4
10019,3,-1.9420508,0,1,0,0,1,1,3
10021,3,44,0,1,0,0,1,0,10
10022,3,-1.435034,1,3,3,0,1,1,2
10022,3,5,1,3,3,0,1,1,5
10022,3,27,1,3,3,0,1,1,8
