stdntid,grade,outcome,treatment,yearsstar,yearssmall,iswhite,isfreelunch,isfemale,school_wave_fe,f
10000,3,.0066752071,0,3,0,1,1,0,98,7
10000,3,.053781211,0,3,0,1,1,0,98,5
10000,3,.6844669,0,3,0,1,1,0,98,9
10000,3,-.056488961,0,3,0,1,1,0,98,6
10000,3,-.52981639,0,3,0,1,1,0,98,4
10000,3,-.78950393,0,3,0,1,1,0,98,1
10000,3,-.75605142,0,3,0,1,1,0,98,2
10000,3,-.10610329,0,3,0,1,1,0,98,8
10000,3,-1.224223,0,3,0,1,1,0,98,3
10000,3,.37370649,0,3,0,1,1,0,98,10
10002,3,-.94643795,0,1,0,0,0,1,264,1
10002,3,-.59734613,0,1,0,0,0,1,264,4
10002,3,-1.1584115,0,1,0,0,0,1,264,2
10002,3,-.63123488,0,1,0,0,0,1,264,3
10002,3,-.36343902,0,1,0,0,0,1,264,6
10002,3,-2.0181918,0,1,0,0,0,1,264,5
10002,3,.6844669,0,1,0,0,0,1,264,9
10002,3,-2.1767151,0,1,0,0,0,1,264,7
10002,3,.17009714,0,1,0,0,0,1,264,10
10002,3,-.44606334,0,1,0,0,0,1,264,8
10003,3,-.051921401,0,3,0,1,0,0,150,2
10003,3,-2.2714572,0,3,0,1,0,0,150,9
10003,3,.55741119,0,3,0,1,0,0,150,6
10003,3,-.37224683,0,3,0,1,0,0,150,4
10003,3,.053781211,0,3,0,1,0,0,150,5
10003,3,.0066752071,0,3,0,1,0,0,150,7
10003,3,-.64434028,0,3,0,1,0,0,150,10
10003,3,.021321654,0,3,0,1,0,0,150,1
10003,3,.52525109,0,3,0,1,0,0,150,8
10003,3,.89805037,0,3,0,1,0,0,150,3
10004,3,.86521113,0,2,0,0,1,1,217,8
10004,3,.073632985,0,2,0,0,1,1,217,1
10004,3,-.52981639,0,2,0,0,1,1,217,4
10004,3,.86436123,0,2,0,0,1,1,217,6
10004,3,.88257045,0,2,0,0,1,1,217,5
10004,3,.43813992,0,2,0,0,1,1,217,9
10004,3,.19955361,0,2,0,0,1,1,217,2
10004,3,.88003141,0,2,0,0,1,1,217,7
10004,3,-.81849432,0,2,0,0,1,1,217,3
10004,3,1.3917532,0,2,0,0,1,1,217,10
10005,3,-.75607455,0,2,0,0,1,0,218,3
10005,3,-.68488127,0,2,0,0,1,0,218,1
10005,3,-.32854393,0,2,0,0,1,0,218,2
10005,3,.86521113,0,2,0,0,1,0,218,8
10005,3,-.36061341,0,2,0,0,1,0,218,5
10005,3,.86436123,0,2,0,0,1,0,218,6
10005,3,-1.0700547,0,2,0,0,1,0,218,4
10005,3,-.4300029,0,2,0,0,1,0,218,7
10007,3,.55741119,0,1,0,0,0,0,297,6
10007,3,.88003141,0,1,0,0,0,0,297,7
10007,3,.48313054,0,1,0,0,0,0,297,4
10007,3,.33627209,0,1,0,0,0,0,297,3
10007,3,.88257045,0,1,0,0,0,0,297,5
10007,3,.80599159,0,1,0,0,0,0,297,1
10007,3,.52525109,0,1,0,0,0,0,297,8
10007,3,.6844669,0,1,0,0,0,0,297,9
10007,3,.98453456,0,1,0,0,0,0,297,10
10007,3,.87853616,0,1,0,0,0,0,297,2
10009,3,-1.1894026,0,1,0,0,1,1,287,5
10009,3,-1.2842892,0,1,0,0,1,1,287,6
10009,3,-.84495538,0,1,0,0,1,1,287,4
10009,3,-.73719263,0,1,0,0,1,1,287,1
10009,3,-1.303359,0,1,0,0,1,1,287,7
10009,3,-.68060893,0,1,0,0,1,1,287,2
10009,3,-1.4173777,0,1,0,0,1,1,287,8
10009,3,.89805037,0,1,0,0,1,1,287,3
10010,3,-.97733921,0,3,0,0,1,0,129,6
