lwage76,constant,ed76,exp76,exp762,black,reg76r,smsa76r,region_1966,smsa66r,daded,momed,nodaded,nomomed,famed,momdad14,sinmom14,nearc4
6.30627529,1,7,16,2.5599999,1,0,1,1,1,9.94,10.25,1,1,9,1,0,0
6.17586727,1,12,9,.81,0,0,1,1,1,8,8,0,0,8,1,0,0
6.58063914,1,12,16,2.5599999,0,0,1,1,1,14,12,0,0,2,1,0,0
5.52146092,1,11,10,1,0,0,1,2,1,11,12,0,0,6,1,0,1
6.59167373,1,12,16,2.5599999,0,0,1,2,1,8,7,0,0,8,1,0,1
6.2146081,1,12,8,.63999999,0,0,1,2,1,9,12,0,0,6,1,0,1
6.33682573,1,18,9,.81,0,0,1,2,1,14,14,0,0,1,1,0,1
6.41017488,1,14,9,.81,0,0,1,2,1,14,14,0,0,1,1,0,1
6.05208917,1,12,10,1,0,0,1,2,1,12,12,0,0,3,1,0,1
6.2441669,1,12,11,1.21,0,0,1,2,1,12,12,0,0,3,1,0,1
5.4161004,1,9,13,1.6900001,0,0,1,9,1,11,12,0,0,6,1,0,1
5.99146455,1,12,8,.63999999,0,0,1,2,1,11,6,0,0,8,1,0,1
6.03308622,1,11,7,.49000001,0,0,1,2,1,11,6,0,0,8,1,0,1
5.37989735,1,11,13,1.6900001,0,0,1,2,1,11,6,0,0,8,1,0,1
6.79570578,1,16,9,.81,1,0,1,2,1,9.94,8,1,0,9,0,1,1
5.70378247,1,14,4,.16,0,0,1,2,1,15,12,0,0,2,1,0,1
5.84643878,1,12,16,2.5599999,0,0,1,2,1,12,8,0,0,5,1,0,1
6.48920493,1,14,9,.81,0,0,1,2,1,9.94,12,1,0,4,0,1,1
6.35437004,1,10,10,1,0,0,1,2,1,8,8,0,0,8,1,0,1
6.47543272,1,12,14,1.96,0,0,1,2,1,8,8,0,0,8,1,0,1
6.85012617,1,18,8,.63999999,0,1,1,1,1,12,13,0,0,2,1,0,1
6.41999493,1,18,10,1,0,0,1,1,1,9.94,8,1,0,9,1,0,1
6.58755001,1,15,11,1.21,0,0,0,1,1,5,14,0,0,6,1,0,1
6.4035742,1,12,10,1,0,0,1,1,1,14,12,0,0,2,1,0,1
6.54103,1,12,14,1.96,0,0,1,1,1,11,12,0,0,6,1,0,1
7.24422752,1,18,10,1,0,0,0,1,1,14,13,0,0,1,1,0,1
5.70378247,1,12,8,.63999999,0,0,1,1,1,7,12,0,0,6,1,0,1
7.49554194,1,18,8,.63999999,0,0,1,2,1,16,16,0,0,1,1,0,1
6.02344759,1,12,7,.49000001,0,0,1,1,1,11,12,0,0,6,1,0,1
6.44888939,1,14,9,.81,0,0,0,1,0,9.94,16,1,0,4,0,1,1
5.33753808,1,12,7,.49000001,0,0,1,2,1,12,12,0,0,3,1,0,1
6.12468339,1,12,7,.49000001,1,0,1,2,1,9.94,11,1,0,9,0,1,1
6.71417053,1,16,2,.039999999,0,0,1,2,1,10,10,0,0,7,1,0,1
6.35784227,1,18,10,1,0,0,1,2,1,9.94,12,1,0,4,0,1,1
5.54126355,1,11,11,1.21,0,0,1,2,1,6,10,0,0,8,0,0,1
6.86901445,1,16,8,.63999999,0,0,1,2,1,12,12,0,0,3,1,0,1
6.85012617,1,10,15,2.25,0,0,1,2,1,8,6,0,0,8,1,0,1
7.0440329,1,18,10,1,0,0,1,2,1,8,11,0,0,8,1,0,1
5.78074352,1,6,15,2.25,0,0,1,2,1,2,6,0,0,8,1,0,1
5.45958551,1,11,7,.49000001,1,0,1,2,1,6,12,0,0,6,1,0,1
6.90775528,1,12,16,2.5599999,0,0,1,2,1,11,10,0,0,7,1,0,1
6.17586727,1,9,11,1.21,0,0,1,2,1,9.94,12,1,0,4,0,1,1
6.43615037,1,15,11,1.21,0,0,1,2,1,10,12,0,0,6,1,0,1
6.47697236,1,11,17,2.8900001,0,0,1,2,1,8,10,0,0,8,1,0,1
5.84064166,1,12,6,.36000001,1,0,1,2,1,9.94,10,1,0,9,0,1,1
5.94017125,1,16,2,.039999999,0,1,1,2,1,12,10,0,0,5,1,0,1
5.86646806,1,12,6,.36000001,0,0,1,2,1,12,11,0,0,5,1,0,1
6.49072353,1,13,6,.36000001,0,0,1,2,1,9.94,12,1,0,4,0,1,1
6.43133108,1,17,5,.25,0,0,1,2,1,10,10,0,0,7,1,0,1
6.08677473,1,12,7,.49000001,0,0,1,2,1,10,11,0,0,7,1,0,1
6.60394382,1,12,8,.63999999,1,0,1,2,1,12,10,0,0,5,1,0,1
5.6347896,1,11,14,1.96,1,1,0,2,1,5,5,0,0,8,1,0,1
6.07304453,1,10,8,.63999999,0,0,1,2,1,5,10.25,0,1,9,0,0,1
6.5581978,1,12,9,.81,0,0,1,2,1,9.94,8,1,0,9,0,1,1
6.05208917,1,12,9,.81,0,0,1,2,1,10,12,0,0,6,1,0,1
6.34738921,1,12,6,.36000001,0,0,1,2,1,9.94,4,1,0,9,0,1,1
6.28785856,1,16,8,.63999999,0,0,1,2,1,12,12,0,0,3,1,0,1
6.60665019,1,16,10,1,0,0,1,2,1,12,12,0,0,3,1,0,1
6.51174533,1,13,13,1.6900001,0,0,1,2,1,10,12,0,0,6,1,0,1
6.64509097,1,12,16,2.5599999,0,0,1,2,1,10,10,0,0,7,1,0,1
6.38350663,1,12,6,.36000001,0,0,1,2,1,10,10,0,0,7,0,0,1
5.36129217,1,9,9,.81,1,0,1,2,1,12,11,0,0,5,1,0,1
7.35436233,1,16,12,1.4400001,0,0,1,2,1,12,12,0,0,3,1,0,1
6.65157187,1,16,6,.36000001,0,0,1,2,1,11,11,0,0,7,1,0,1
6.39692966,1,12,8,.63999999,0,1,1,2,1,8,9,0,0,8,1,0,1
6.54103,1,18,0,0,0,0,1,2,1,16,16,0,0,1,1,0,1
6.34563636,1,13,12,1.4400001,0,0,1,2,1,8,12,0,0,6,1,0,1
6.07073773,1,14,8,.63999999,0,0,1,2,1,12,12,0,0,3,1,0,1
6.28785856,1,15,7,.49000001,0,0,1,2,1,12,12,0,0,3,1,0,1
6.44094654,1,12,7,.49000001,0,0,1,2,1,12,9,0,0,5,0,0,1
6.17586727,1,8,17,2.8900001,0,0,1,2,1,12,11,0,0,5,1,0,1
6.30078579,1,12,8,.63999999,0,0,1,2,1,6,11,0,0,8,1,0,1
6.35610766,1,12,7,.49000001,0,0,1,2,1,12,9,0,0,5,1,0,1
6.55108034,1,16,3,.090000004,0,0,1,2,1,14,12,0,0,2,1,0,1
6.66949809,1,16,6,.36000001,0,0,1,2,1,12,12,0,0,3,1,0,1
6.91968385,1,17,4,.16,0,0,1,2,1,12,12,0,0,3,1,0,1
6.63068339,1,12,6,.36000001,0,0,1,2,1,12,10,0,0,5,1,0,1
6.39859493,1,14,9,.81,0,0,1,2,1,12,16,0,0,2,1,0,1
5.6454469,1,12,6,.36000001,0,0,1,2,1,9.94,12,1,0,4,0,1,1
5.52146092,1,12,6,.36000001,0,0,1,2,1,12,12,0,0,3,0,0,1
6.2146081,1,12,8,.63999999,0,0,1,2,1,10,12,0,0,6,1,0,1
6.30991828,1,11,14,1.96,0,0,1,2,1,8,6,0,0,8,1,0,1
7.04141166,1,12,7,.49000001,0,0,1,2,1,8,6,0,0,8,1,0,1
6.69703425,1,18,7,.49000001,0,1,1,2,1,8,8,0,0,8,1,0,1
5.74620319,1,12,10,1,1,0,1,2,1,9.94,9,1,0,9,0,1,1
6.59441346,1,18,1,.0099999998,0,0,1,2,1,9.94,4,1,0,9,0,1,1
6.43775165,1,16,3,.090000004,0,0,1,2,1,9,10,0,0,7,1,0,1
6.37672695,1,14,4,.16,0,0,1,2,1,16,12,0,0,2,1,0,1
5.92692603,1,14,6,.36000001,0,0,1,2,1,12,12,0,0,3,1,0,1
6.70563909,1,16,7,.49000001,0,1,1,2,0,14,11,0,0,5,1,0,1
6.76272951,1,14,10,1,0,0,1,2,1,15,12,0,0,2,1,0,1
5.85793315,1,15,7,.49000001,0,1,1,2,0,12,12,0,0,3,1,0,1
5.3082677,1,13,5,.25,0,1,1,2,1,12,12,0,0,3,1,0,1
6.22455843,1,13,13,1.6900001,0,1,1,2,1,16,16,0,0,1,0,0,1
6.70441435,1,17,7,.49000001,0,0,1,2,1,12,13,0,0,2,1,0,1
6.43775165,1,18,2,.039999999,0,0,1,2,1,14,12,0,0,2,1,0,1
6.64509097,1,18,8,.63999999,0,0,1,2,0,16,16,0,0,1,1,0,1
6.2146081,1,17,4,.16,0,0,1,2,1,16,17,0,0,1,1,0,1
6.42810527,1,17,4,.16,0,0,1,2,0,12,8,0,0,5,1,0,1
6.47697236,1,12,12,1.4400001,0,0,1,2,1,9.94,8,1,0,9,0,1,1
6.64509097,1,18,4,.16,0,0,1,2,1,10,12,0,0,6,1,0,1
6.23832463,1,12,8,.63999999,0,0,1,2,1,10,12,0,0,6,1,0,1
6.43775165,1,18,7,.49000001,0,0,1,2,1,12,13,0,0,2,1,0,1
7.01301579,1,14,11,1.21,0,0,1,2,1,12,12,0,0,3,1,0,1
6.58063914,1,13,9,.81,0,0,1,2,1,12,12,0,0,3,1,0,1
7.05098945,1,14,12,1.4400001,0,0,1,2,1,13,12,0,0,2,1,0,1
6.7178047,1,18,10,1,0,0,0,2,1,18,18,0,0,1,1,0,1
6.82762923,1,16,12,1.4400001,0,0,1,2,1,14,12,0,0,2,1,0,1
6.98100574,1,17,5,.25,0,0,1,2,0,14,17,0,0,1,1,0,1
6.43775165,1,12,15,2.25,0,0,1,2,1,9.94,8,1,0,9,1,0,1
6.13122649,1,13,8,.63999999,0,0,1,2,1,9.94,8,1,0,9,0,1,1
6.80239476,1,14,4,.16,1,0,1,2,1,8,12,0,0,6,1,0,1
6.52502966,1,18,5,.25,0,0,1,2,0,8,9,0,0,8,1,0,1
6.01859321,1,12,6,.36000001,0,0,1,2,1,10,12,0,0,6,1,0,1
6.43775165,1,13,8,.63999999,0,0,1,2,1,12,15,0,0,2,1,0,1
6.91274282,1,18,8,.63999999,0,0,1,2,1,12,12,0,0,3,1,0,1
6.58617165,1,11,7,.49000001,0,0,1,2,1,9,11,0,0,7,1,0,1
6.62007321,1,15,6,.36000001,0,0,1,2,1,8,11,0,0,8,1,0,1
6.27098843,1,14,9,.81,0,0,1,2,0,9.94,8,1,0,9,1,0,1
6.8793558,1,17,6,.36000001,0,0,1,2,1,8,12,0,0,6,1,0,1
6.15697899,1,12,8,.63999999,0,0,0,2,1,12,12,0,0,3,0,0,1
5.78382518,1,12,6,.36000001,0,0,1,2,1,12,12,0,0,3,0,0,1
6.77422389,1,12,16,2.5599999,0,0,1,2,1,9.94,12,1,0,4,1,0,1
6.43775165,1,13,15,2.25,0,0,1,2,1,9,10,0,0,7,1,0,1
5.82008293,1,12,8,.63999999,0,0,1,2,1,8,10,0,0,8,1,0,1
6.17586727,1,16,5,.25,0,0,1,2,1,5,5,0,0,8,1,0,1
6.47697236,1,9,14,1.96,0,0,1,2,1,5,10.25,0,1,9,1,0,1
5.94803499,1,16,3,.090000004,0,0,1,2,1,5,4,0,0,8,1,0,1
6.86901445,1,18,6,.36000001,0,0,1,2,1,15,14,0,0,1,1,0,1
6.42162227,1,16,7,.49000001,0,0,0,2,1,13,12,0,0,2,1,0,1
6.5539334,1,14,8,.63999999,0,0,1,2,1,12,12,0,0,3,1,0,1
6.453625,1,14,11,1.21,0,0,1,2,1,9.94,12,1,0,4,1,0,1
5.29831737,1,12,10,1,0,0,1,2,1,10,11,0,0,7,1,0,1
6.70563909,1,12,9,.81,0,0,1,2,1,10,10,0,0,7,1,0,1
6.35784227,1,14,6,.36000001,0,0,1,2,1,9.94,12,1,0,4,0,1,1
6.14418563,1,17,3,.090000004,0,0,1,2,1,12,12,0,0,3,1,0,1
6.82871207,1,16,7,.49000001,0,0,1,2,1,9.94,12,1,0,4,0,1,1
6.67582322,1,16,9,.81,0,1,1,2,0,12,12,0,0,3,1,0,1
6.453625,1,14,8,.63999999,0,0,1,2,1,12,12,0,0,3,1,0,1
6.34563636,1,12,7,.49000001,0,0,1,2,1,9.94,10.25,1,1,9,0,0,1
6.5581978,1,16,7,.49000001,0,0,1,2,1,12,12,0,0,3,1,0,1
6.453625,1,14,8,.63999999,0,0,1,2,1,12,9,0,0,5,1,0,1
6.54247196,1,12,12,1.4400001,0,0,1,2,1,9.94,12,1,0,4,0,0,1
6.42162227,1,13,15,2.25,0,0,1,2,1,10,12,0,0,6,1,0,1
6.13556489,1,16,4,.16,0,0,1,2,1,15,10,0,0,5,1,0,1
6.76272951,1,12,16,2.5599999,0,0,1,2,1,12,12,0,0,3,1,0,1
6.60258789,1,18,9,.81,0,1,1,2,0,12,12,0,0,3,1,0,1
7.24422752,1,12,7,.49000001,0,0,1,2,1,8,14,0,0,6,1,0,1
6.69456206,1,12,13,1.6900001,0,0,1,2,1,9.94,7,1,0,9,0,1,1
6.48310735,1,16,4,.16,0,0,1,2,1,11,12,0,0,6,1,0,1
5.70378247,1,12,7,.49000001,0,0,1,2,1,9.94,12,1,0,4,0,1,1
6.35784227,1,16,8,.63999999,0,0,1,2,1,8,10,0,0,8,1,0,1
5.57972983,1,16,2,.039999999,0,0,1,2,1,10,12,0,0,6,1,0,1
6.38687932,1,18,7,.49000001,0,0,0,2,1,8,8,0,0,8,1,0,1
5.78382518,1,17,3,.090000004,0,0,1,2,1,12,8,0,0,5,1,0,1
5.95324333,1,16,2,.039999999,0,0,0,2,1,12,8,0,0,5,1,0,1
6.90775528,1,18,1,.0099999998,0,0,1,2,1,12,12,0,0,3,1,0,1
6.14203741,1,18,4,.16,0,0,1,2,1,8,11,0,0,8,1,0,1
6.08677473,1,16,6,.36000001,0,0,1,2,0,16,18,0,0,1,1,0,1
6.43775165,1,16,5,.25,0,0,1,2,0,16,17,0,0,1,1,0,1
5.65248918,1,17,4,.16,0,0,1,2,1,11,12,0,0,6,1,0,1
6.47697236,1,14,7,.49000001,0,0,1,2,1,10,12,0,0,6,1,0,1
6.69456206,1,13,6,.36000001,0,0,1,2,1,10,12,0,0,6,1,0,1
6.2146081,1,12,6,.36000001,0,0,1,2,1,10,12,0,0,6,1,0,1
6.72262979,1,16,4,.16,0,0,1,2,1,14,12,0,0,2,1,0,1
6.2146081,1,12,13,1.6900001,0,0,1,2,1,8,6,0,0,8,1,0,1
6.54103,1,17,9,.81,0,0,1,2,1,12,12,0,0,3,1,0,1
7.00306546,1,12,9,.81,0,0,1,2,1,12,10,0,0,5,1,0,1
6.63725803,1,12,7,.49000001,0,0,1,2,1,8,12,0,0,6,1,0,1
6.67834211,1,12,9,.81,0,0,1,1,1,8,9,0,0,8,1,0,1
5.80814249,1,16,3,.090000004,0,0,1,1,1,7,8,0,0,8,1,0,1
6.01371516,1,18,6,.36000001,0,0,1,1,1,16,12,0,0,2,1,0,1
6.76272951,1,16,5,.25,0,0,1,1,1,9.94,12,1,0,4,1,0,1
6.78897174,1,12,13,1.6900001,0,0,1,1,1,8,12,0,0,6,1,0,1
6.51174533,1,12,16,2.5599999,0,0,1,1,1,9.94,12,1,0,4,1,0,1
